,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_min_impurity_decrease,param_max_depth,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.004109716415405274,0.005082197066307072,0.0,0.0,entropy,0.0,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.0}",0.5506072874493927,0.5222672064777328,0.6275303643724697,0.5708502024291497,0.6626016260162602,0.586771337349001,0.051251604667551354,121,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1,0.001211404800415039,0.0015138968958510106,0.0020073413848876952,0.0040146827697753905,entropy,0.00020408163265306123,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.00020408163265306123}",0.5587044534412956,0.5425101214574899,0.6234817813765182,0.582995951417004,0.6788617886178862,0.5973108192620387,0.04905907309366377,114,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2,0.0035691261291503906,0.0035921384477757235,0.0,0.0,entropy,0.00040816326530612246,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.00040816326530612246}",0.5506072874493927,0.5465587044534413,0.631578947368421,0.562753036437247,0.6829268292682927,0.594884960995359,0.053714465885349144,117,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3,0.0,0.0,0.0,0.0,entropy,0.0006122448979591836,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.0006122448979591836}",0.5546558704453441,0.5182186234817814,0.6234817813765182,0.5748987854251012,0.6747967479674797,0.5892103617392449,0.05465934631433986,120,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4,0.004076480865478516,0.003839775274391699,0.0,0.0,entropy,0.0008163265306122449,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.0008163265306122449}",0.5506072874493927,0.5303643724696356,0.6518218623481782,0.582995951417004,0.6707317073170732,0.5973042362002567,0.05519065585362988,115,0.9888551165146909,0.9959473150962512,0.9949341438703141,0.993920972644377,0.9939271255060729,0.9935169347263411,0.002448643814590681
5,0.004311323165893555,0.005300333862052765,0.0,0.0,entropy,0.0010204081632653062,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.0010204081632653062}",0.5425101214574899,0.5141700404858299,0.6153846153846154,0.5546558704453441,0.6626016260162602,0.5778644547579079,0.05372838416460106,122,0.9766970618034447,0.9918946301925026,0.9848024316109423,0.9827760891590679,0.9939271255060729,0.9860194676544062,0.006260295826767781
6,0.0020105838775634766,0.0025457925662808246,0.0,0.0,entropy,0.0012244897959183673,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.0012244897959183673}",0.5587044534412956,0.5303643724696356,0.6032388663967612,0.5748987854251012,0.6991869918699187,0.5932786939205424,0.057977898538901014,118,0.9706180344478217,0.9848024316109423,0.9584599797365755,0.9716312056737588,0.9665991902834008,0.9704221683504999,0.008555714160178163
7,0.004528427124023437,0.005584379553465009,0.0,0.0,entropy,0.0014285714285714286,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.0014285714285714286}",0.5546558704453441,0.5222672064777328,0.631578947368421,0.582995951417004,0.6666666666666666,0.5916329284750337,0.05192157523396254,119,0.9341438703140831,0.9523809523809523,0.92806484295846,0.9463019250253293,0.9159919028340081,0.9353766987025665,0.012955760297923379
8,0.0020859241485595703,0.0025665716343092585,0.0,0.0,entropy,0.0016326530612244899,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.0016326530612244899}",0.5789473684210527,0.5425101214574899,0.6234817813765182,0.7165991902834008,0.6829268292682927,0.6288930581613509,0.0641839226372264,80,0.894630192502533,0.9199594731509625,0.900709219858156,0.8834853090172239,0.8977732793522267,0.8993114947762203,0.011857837068496063
9,0.002084636688232422,0.004169273376464844,0.0,0.0,entropy,0.0018367346938775511,,,"{'criterion': 'entropy', 'min_impurity_decrease': 0.0018367346938775511}",0.5546558704453441,0.5425101214574899,0.6234817813765182,0.7125506072874493,0.6747967479674797,0.6215990257068562,0.06609413502932573,93,0.8875379939209727,0.8844984802431611,0.8733535967578521,0.8601823708206687,0.8674089068825911,0.8745962697250491,0.01026162658321387
